,Month,Thousands of Passengers
0,1949-01,112.0
1,1949-02,118.0
2,1949-03,132.0
3,1949-04,129.0
4,1949-05,121.0
5,1949-06,135.0
6,1949-07,148.0
7,1949-08,148.0
8,1949-09,136.0
9,1949-10,119.0
10,1949-11,104.0
11,1949-12,118.0
12,1950-01,115.0
13,1950-02,126.0
14,1950-03,141.0
15,1950-04,135.0
16,1950-05,125.0
17,1950-06,149.0
18,1950-07,170.0
19,1950-08,170.0
20,1950-09,158.0
21,1950-10,133.0
22,1950-11,114.0
23,1950-12,140.0
24,1951-01,145.0
25,1951-02,150.0
26,1951-03,178.0
27,1951-04,163.0
28,1951-05,172.0
29,1951-06,178.0
30,1951-07,199.0
31,1951-08,199.0
32,1951-09,184.0
33,1951-10,162.0
34,1951-11,146.0
35,1951-12,166.0
36,1952-01,171.0
37,1952-02,180.0
38,1952-03,193.0
39,1952-04,181.0
40,1952-05,183.0
41,1952-06,218.0
42,1952-07,230.0
43,1952-08,242.0
44,1952-09,209.0
45,1952-10,191.0
46,1952-11,172.0
47,1952-12,194.0
48,1953-01,196.0
49,1953-02,196.0
50,1953-03,236.0
51,1953-04,235.0
52,1953-05,229.0
53,1953-06,243.0
54,1953-07,264.0
55,1953-08,272.0
56,1953-09,237.0
57,1953-10,211.0
58,1953-11,180.0
59,1953-12,201.0
60,1954-01,204.0
61,1954-02,188.0
62,1954-03,235.0
63,1954-04,227.0
64,1954-05,234.0
65,1954-06,264.0
66,1954-07,302.0
67,1954-08,293.0
68,1954-09,259.0
69,1954-10,229.0
70,1954-11,203.0
71,1954-12,229.0
72,1955-01,242.0
73,1955-02,233.0
74,1955-03,267.0
75,1955-04,269.0
76,1955-05,270.0
77,1955-06,315.0
78,1955-07,364.0
79,1955-08,347.0
80,1955-09,312.0
81,1955-10,274.0
82,1955-11,237.0
83,1955-12,278.0
84,1956-01,284.0
85,1956-02,277.0
86,1956-03,317.0
87,1956-04,313.0
88,1956-05,318.0
89,1956-06,374.0
90,1956-07,413.0
91,1956-08,405.0
92,1956-09,355.0
93,1956-10,306.0
94,1956-11,271.0
95,1956-12,306.0
96,1957-01,315.0
97,1957-02,301.0
98,1957-03,356.0
99,1957-04,348.0
100,1957-05,355.0
101,1957-06,422.0
102,1957-07,465.0
103,1957-08,467.0
104,1957-09,404.0
105,1957-10,347.0
106,1957-11,305.0
107,1957-12,336.0
108,1958-01,340.0
109,1958-02,318.0
110,1958-03,362.0
111,1958-04,348.0
112,1958-05,363.0
113,1958-06,435.0
114,1958-07,491.0
115,1958-08,505.0
116,1958-09,404.0
117,1958-10,359.0
118,1958-11,310.0
119,1958-12,337.0
120,1959-01,360.0
121,1959-02,342.0
122,1959-03,406.0
123,1959-04,396.0
124,1959-05,420.0
125,1959-06,472.0
126,1959-07,548.0
127,1959-08,559.0
128,1959-09,463.0
129,1959-10,407.0
130,1959-11,362.0
131,1959-12,405.0
132,1960-01,417.0
133,1960-02,391.0
134,1960-03,419.0
135,1960-04,461.0
136,1960-05,472.0
137,1960-06,535.0
138,1960-07,622.0
139,1960-08,606.0
140,1960-09,508.0
141,1960-10,461.0
142,1960-11,390.0
143,1960-12,432.0
144,International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60,
