,Date,HomeTeam,AwayTeam,Result
0,01.10. 01:00,Tamil Thalaivas,U Mumba,U Mumba
1,01.10. 00:00,Bengal Warriors,Dabang Delhi,Bengal Warriors
2,30.09. 01:00,Haryana Steelers,Gujarat FortuneGiants,Haryana Steelers
3,30.09. 00:00,Puneri Paltan,Dabang Delhi,Dabang Delhi
4,29.09. 01:00,Gujarat FortuneGiants,Tamil Thalaivas,Gujarat FortuneGiants
5,29.09. 00:00,Haryana Steelers,UP Yoddha,UP Yoddha
6,28.09. 01:00,Jaipur Pink Panthers,Telugu Titans,Telugu Titans
7,28.09. 00:00,U Mumba,Bengaluru Bulls,Bengaluru Bulls
8,27.09. 00:00,Patna Pirates,Dabang Delhi,Dabang Delhi
9,26.09. 01:00,Jaipur Pink Panthers,Puneri Paltan,Jaipur Pink Panthers
10,26.09. 00:00,Telugu Titans,Bengal Warriors,Bengal Warriors
11,24.09. 01:00,Dabang Delhi,Bengaluru Bulls,Tie
12,24.09. 00:00,Patna Pirates,Haryana Steelers,Haryana Steelers
13,23.09. 01:00,Jaipur Pink Panthers,Bengal Warriors,Bengal Warriors
14,23.09. 00:00,U Mumba,Gujarat FortuneGiants,U Mumba
15,22.09. 01:00,UP Yoddha,Tamil Thalaivas,UP Yoddha
16,22.09. 00:00,Jaipur Pink Panthers,Gujarat FortuneGiants,Tie
17,21.09. 01:00,Puneri Paltan,Bengaluru Bulls,Puneri Paltan
18,21.09. 00:00,Telugu Titans,Patna Pirates,Tie
19,20.09. 00:00,Bengal Warriors,Haryana Steelers,Bengal Warriors
20,19.09. 01:00,Puneri Paltan,Tamil Thalaivas,Tie
21,19.09. 00:00,U Mumba,UP Yoddha,U Mumba
22,17.09. 01:00,Telugu Titans,Dabang Delhi,Dabang Delhi
23,17.09. 00:00,Jaipur Pink Panthers,UP Yoddha,UP Yoddha
24,16.09. 01:00,Puneri Paltan,Patna Pirates,Patna Pirates
25,16.09. 00:00,Dabang Delhi,Gujarat FortuneGiants,Dabang Delhi
26,15.09. 01:00,Tamil Thalaivas,Haryana Steelers,Haryana Steelers
27,15.09. 00:00,Puneri Paltan,Gujarat FortuneGiants,Puneri Paltan
28,13.09. 01:00,Bengal Warriors,Bengaluru Bulls,Bengal Warriors
29,13.09. 00:00,Jaipur Pink Panthers,Patna Pirates,Patna Pirates
30,12.09. 01:00,Bengal Warriors,U Mumba,Bengal Warriors
31,12.09. 00:00,Haryana Steelers,Jaipur Pink Panthers,Tie
32,11.09. 00:00,Telugu Titans,U Mumba,U Mumba
33,10.09. 01:15,Tamil Thalaivas,Patna Pirates,Patna Pirates
34,10.09. 00:00,UP Yoddha,Gujarat FortuneGiants,UP Yoddha
35,09.09. 01:00,Bengal Warriors,Puneri Paltan,Bengal Warriors
36,09.09. 00:00,Dabang Delhi,Tamil Thalaivas,Dabang Delhi
37,08.09. 01:00,Dabang Delhi,Haryana Steelers,Haryana Steelers
38,08.09. 00:00,Bengal Warriors,Gujarat FortuneGiants,Tie
39,07.09. 01:00,Bengaluru Bulls,Telugu Titans,Bengaluru Bulls
40,07.09. 00:00,Patna Pirates,UP Yoddha,UP Yoddha
41,06.09. 00:00,Puneri Paltan,U Mumba,Tie
42,05.09. 01:00,Bengaluru Bulls,Patna Pirates,Bengaluru Bulls
43,05.09. 00:00,Jaipur Pink Panthers,Dabang Delhi,Dabang Delhi
44,03.09. 01:00,Telugu Titans,Tamil Thalaivas,Telugu Titans
45,03.09. 00:00,Puneri Paltan,Haryana Steelers,Haryana Steelers
46,02.09. 01:00,Bengaluru Bulls,Tamil Thalaivas,Bengaluru Bulls
47,02.09. 00:00,UP Yoddha,Bengal Warriors,UP Yoddha
48,01.09. 01:00,U Mumba,Jaipur Pink Panthers,U Mumba
49,01.09. 00:00,Bengaluru Bulls,Gujarat FortuneGiants,Gujarat FortuneGiants
50,31.08. 01:00,Dabang Delhi,Patna Pirates,Dabang Delhi
51,31.08. 00:00,Telugu Titans,Puneri Paltan,Puneri Paltan
52,30.08. 00:00,Bengal Warriors,Tamil Thalaivas,Bengal Warriors
53,29.08. 01:00,Dabang Delhi,U Mumba,Dabang Delhi
54,29.08. 00:00,Gujarat FortuneGiants,Haryana Steelers,Haryana Steelers
55,27.08. 01:00,UP Yoddha,Puneri Paltan,UP Yoddha
56,27.08. 00:00,Bengal Warriors,Haryana Steelers,Haryana Steelers
57,26.08. 01:00,Dabang Delhi,UP Yoddha,Dabang Delhi
58,26.08. 00:00,Jaipur Pink Panthers,Bengaluru Bulls,Bengaluru Bulls
59,25.08. 01:00,Jaipur Pink Panthers,Telugu Titans,Telugu Titans
60,25.08. 00:00,Dabang Delhi,Bengaluru Bulls,Dabang Delhi
61,24.08. 01:00,Tamil Thalaivas,U Mumba,U Mumba
62,24.08. 00:00,Gujarat FortuneGiants,Patna Pirates,Gujarat FortuneGiants
63,23.08. 00:00,Bengal Warriors,Patna Pirates,Bengal Warriors
64,22.08. 01:00,Tamil Thalaivas,Jaipur Pink Panthers,Jaipur Pink Panthers
65,22.08. 00:00,Puneri Paltan,Bengaluru Bulls,Puneri Paltan
66,20.08. 01:00,UP Yoddha,Jaipur Pink Panthers,UP Yoddha
67,20.08. 00:00,U Mumba,Haryana Steelers,Haryana Steelers
68,19.08. 01:00,Tamil Thalaivas,Puneri Paltan,Tie
69,19.08. 00:00,Haryana Steelers,Telugu Titans,Telugu Titans
70,18.08. 01:00,Bengal Warriors,Dabang Delhi,Tie
71,18.08. 00:00,Tamil Thalaivas,Bengaluru Bulls,Bengaluru Bulls
72,17.08. 01:00,Gujarat FortuneGiants,Jaipur Pink Panthers,Jaipur Pink Panthers
73,17.08. 00:00,U Mumba,Patna Pirates,U Mumba
74,16.08. 00:00,Jaipur Pink Panthers,Puneri Paltan,Jaipur Pink Panthers
75,15.08. 01:00,Gujarat FortuneGiants,Bengal Warriors,Bengal Warriors
76,15.08. 00:00,UP Yoddha,Haryana Steelers,Haryana Steelers
77,13.08. 01:00,UP Yoddha,Bengaluru Bulls,UP Yoddha
78,13.08. 00:00,Bengal Warriors,Telugu Titans,Tie
79,12.08. 01:00,Gujarat FortuneGiants,Telugu Titans,Telugu Titans
80,12.08. 00:00,Bengaluru Bulls,Haryana Steelers,Haryana Steelers
81,11.08. 01:00,Puneri Paltan,Dabang Delhi,Dabang Delhi
82,11.08. 00:00,Gujarat FortuneGiants,Tamil Thalaivas,Tamil Thalaivas
83,10.08. 01:00,Patna Pirates,UP Yoddha,Patna Pirates
84,10.08. 00:00,Bengal Warriors,U Mumba,Bengal Warriors
85,09.08. 00:00,Telugu Titans,Bengaluru Bulls,Bengaluru Bulls
86,08.08. 01:00,Patna Pirates,Haryana Steelers,Haryana Steelers
87,08.08. 00:00,UP Yoddha,Tamil Thalaivas,Tie
88,06.08. 01:00,Gujarat FortuneGiants,Puneri Paltan,Puneri Paltan
89,06.08. 00:00,Dabang Delhi,Jaipur Pink Panthers,Dabang Delhi
90,05.08. 01:00,Patna Pirates,Puneri Paltan,Puneri Paltan
91,05.08. 00:00,Haryana Steelers,Tamil Thalaivas,Tamil Thalaivas
92,04.08. 01:00,Bengal Warriors,Bengaluru Bulls,Bengaluru Bulls
93,04.08. 00:00,Patna Pirates,Jaipur Pink Panthers,Jaipur Pink Panthers
94,03.08. 01:00,U Mumba,Gujarat FortuneGiants,U Mumba
95,03.08. 00:00,Telugu Titans,UP Yoddha,Tie
96,02.08. 00:00,Gujarat FortuneGiants,Dabang Delhi,Gujarat FortuneGiants
97,01.08. 01:00,U Mumba,UP Yoddha,UP Yoddha
98,01.08. 00:00,Haryana Steelers,Jaipur Pink Panthers,Jaipur Pink Panthers
99,30.07. 01:00,Bengal Warriors,Puneri Paltan,Bengal Warriors
100,30.07. 00:00,Tamil Thalaivas,Patna Pirates,Patna Pirates
101,29.07. 01:00,U Mumba,Bengaluru Bulls,Bengaluru Bulls
102,29.07. 00:00,Dabang Delhi,Haryana Steelers,Dabang Delhi
